"Year","Country","Expenditure","Days","populations"
"1",2004,"France",61.8,11.1,66616416
"2",2004,"Germany",79.5,9.9,80716000
"3",2004,"Italy",108.9,8.3,60782668
"4",2004,"Netherlands",78.4,8.3,16856620
"6",2004,"UnitedKingdom",88.8,10,64100000
"7",2005,"France",66.4,11,66616416
"8",2005,"Germany",79.6,9.7,80716000
"9",2005,"Italy",109.1,8.2,60782668
"10",2005,"Netherlands",75.6,8.7,16856620
"12",2005,"UnitedKingdom",87,10.1,64100000
"13",2006,"France",69.9,10.9,66616416
"14",2006,"Germany",83.9,9.5,80716000
"15",2006,"Italy",101.4,7.5,60782668
"16",2006,"Netherlands",81.6,8.3,16856620
"18",2006,"UnitedKingdom",88.1,10.1,64100000
"19",2007,"France",74.4,10.2,66616416
"20",2007,"Germany",90.2,9.3,80716000
"21",2007,"Italy",106.1,7.5,60782668
"22",2007,"Netherlands",90.7,8.2,16856620
"24",2007,"UnitedKingdom",89,9,64100000
"25",2008,"France",84.1,10.3,66616416
"26",2008,"Germany",90.5,9.5,80716000
"27",2008,"Italy",102.5,7.5,60782668
"28",2008,"Netherlands",95.2,8.6,16856620
"30",2008,"UnitedKingdom",85.7,8.9,64100000
"31",2009,"France",79.7,10.9,66616416
"32",2009,"Germany",89.4,9.7,80716000
"33",2009,"Italy",101,7.6,60782668
"34",2009,"Netherlands",89.7,8.7,16856620
"36",2009,"UnitedKingdom",84.1,10.1,64100000
"37",2010,"France",76.4,10.4,66616416
"38",2010,"Germany",92.6,9.6,80716000
"39",2010,"Italy",97.8,8,60782668
"40",2010,"Netherlands",90.7,8.5,16856620
"42",2010,"UnitedKingdom",88.3,10.1,64100000
"43",2011,"France",82.9,10.3,66616416
"44",2011,"Germany",93.6,9.2,80716000
"45",2011,"Italy",100.3,7.5,60782668
"46",2011,"Netherlands",90.1,7.9,16856620
"48",2011,"UnitedKingdom",85.1,9.9,64100000
"49",2012,"France",77.6,9.9,66616416
"50",2012,"Germany",97.8,8.9,80716000
"51",2012,"Italy",102.9,7.3,60782668
"52",2012,"Netherlands",88.5,7.2,16856620
"54",2012,"UnitedKingdom",93.2,10.2,64100000
"55",2013,"France",83.7,9.7,66616416
"56",2013,"Germany",101.6,9,80716000
"57",2013,"Italy",102.7,7.5,60782668
"58",2013,"Netherlands",91.7,7.2,16856620
"60",2013,"UnitedKingdom",95.7,10,64100000
"61",2014,"France",88,9.3,66616416
"62",2014,"Germany",101.7,8.5,80716000
"63",2014,"Italy",106.3,6.4,60782668
"64",2014,"Netherlands",96.6,6.4,16856620
"66",2014,"UnitedKingdom",92.8,8.8,64100000
